Value,Cell,Alignment ,Type
41.30130541,231,Random,231_RM
8.686732446,231,Random,231_RM
6.36740685,231,Random,231_RM
8.268818339,231,Random,231_RM
10.07548656,231,Random,231_RM
60.35330848,231,Random,231_RM
69.65357569,231,Random,231_RM
75.03254888,231,Random,231_RM
59.13597421,231,Random,231_RM
13.51013987,231,Random,231_RM
18.77494502,231,Random,231_RM
5.131639676,231,Random,231_RM
10.29057775,231,Random,231_RM
42.89303505,231,Random,231_RM
34.40682141,231,Random,231_RM
46.70345703,231,Random,231_RM
9.860593766,231,Random,231_RM
30.40100764,231,Random,231_RM
12.54549501,231,Random,231_RM
11.82946539,231,Random,231_RM
13.93688893,231,Random,231_RM
17.60558513,231,Random,231_RM
8.095323256,231,Random,231_RM
54.19255461,231,Random,231_RM
17.61818907,231,Random,231_RM
14.77515859,231,Random,231_RM
17.45235403,231,Random,231_RM
57.82554467,231,Random,231_RM
76.77273351,231,Random,231_RM
5.194888326,231,Random,231_RM
13.01968438,231,Random,231_RM
12.49761219,231,Random,231_RM
6.899397396,231,Random,231_RM
3.79278255,231,Random,231_RM
35.94715867,231,Random,231_RM
66.04110902,231,Random,231_RM
7.948302577,231,Random,231_RM
7.732890957,231,Random,231_RM
30.06318816,231,Random,231_RM
13.26807074,231,Random,231_RM
58.49254705,231,Random,231_RM
12.98410034,231,Random,231_RM
21.53479861,231,Random,231_RM
28.23070167,231,Random,231_RM
52.25893129,231,Random,231_RM
17.96125768,231,Random,231_RM
66.63724848,231,Random,231_RM
10.00961337,231,Random,231_RM
20.74984398,231,Random,231_RM
5.956786557,231,Random,231_RM
70.40192392,231,Random,231_RM
68.9766092,231,Random,231_RM
8.852186022,231,Random,231_RM
6.029312689,231,Random,231_RM
6.326192226,231,Random,231_RM
4.575112624,231,Random,231_RM
11.74021536,231,Random,231_RM
66.61667934,231,Random,231_RM
13.43038097,231,Random,231_RM
41.88053789,231,Random,231_RM
53.05005056,231,Random,231_RM
16.37055039,231,Random,231_RM
15.60343356,231,Random,231_RM
9.432059377,231,Random,231_RM
11.99096689,231,Random,231_RM
36.22931326,231,Random,231_RM
67.23972047,231,Random,231_RM
74.67098636,231,Random,231_RM
65.66480627,231,Random,231_RM
15.06509527,231,Random,231_RM
10.38641967,231,Random,231_RM
3.756756004,231,Random,231_RM
43.88650421,231,Random,231_RM
17.22327031,231,Random,231_RM
27.89767352,231,Random,231_RM
34.0305797,231,Random,231_RM
4.844312285,231,Random,231_RM
54.61953256,231,Random,231_RM
20.64437361,231,Random,231_RM
12.98152156,231,Random,231_RM
14.03848351,231,Random,231_RM
27.95194985,231,Random,231_RM
7.653360943,231,Random,231_RM
10.65119422,231,Random,231_RM
59.38652735,231,Random,231_RM
38.40404433,231,Random,231_RM
19.15458948,231,Random,231_RM
4.842694838,231,Random,231_RM
12.77593676,231,Random,231_RM
12.2952623,231,Random,231_RM
53.48140783,231,Random,231_RM
14.36995526,231,Random,231_RM
76.59040341,231,Random,231_RM
34.51914305,231,Random,231_RM
4.706187617,231,Random,231_RM
12.25850332,231,Random,231_RM
44.96989478,231,Random,231_RM
30.29294325,231,Random,231_RM
51.10776016,231,Random,231_RM
44.0495621,231,Random,231_RM
68.81742706,231,Random,231_RM
24.20755366,231,Random,231_RM
12.7819183,231,Random,231_RM
10.5344627,231,Random,231_RM
5.041031602,231,Random,231_RM
9.173617307,231,Random,231_RM
4.510765313,231,Random,231_RM
5.276356251,231,Random,231_RM
39.40972068,231,Random,231_RM
53.24687668,231,Random,231_RM
5.747692179,231,Random,231_RM
6.09306488,231,Random,231_RM
5.976638545,231,Random,231_RM
19.1227134,231,Random,231_RM
18.08984546,231,Random,231_RM
71.87582338,231,Random,231_RM
41.23401308,231,Random,231_RM
4.173556192,231,Random,231_RM
68.26611858,231,Random,231_RM
15.17869868,231,Random,231_RM
15.95800747,231,Random,231_RM
15.87348774,231,Random,231_RM
70.03093128,231,Random,231_RM
36.40051947,231,Random,231_RM
4.375631416,231,Random,231_RM
11.80451688,231,Random,231_RM
52.07541101,231,Random,231_RM
25.95976241,231,Random,231_RM
44.04779205,231,Random,231_RM
82.61103378,231,Random,231_RM
26.97894304,231,Random,231_RM
5.087327473,231,Random,231_RM
25.59523964,231,Random,231_RM
12.95355177,231,Random,231_RM
5.1147632,231,Random,231_RM
31.22612401,231,Random,231_RM
13.37457871,231,Random,231_RM
14.96078459,231,Random,231_RM
27.90318202,231,Random,231_RM
66.59211231,231,Random,231_RM
5.614496171,231,Random,231_RM
74.29425635,231,Random,231_RM
4.136476769,231,Random,231_RM
8.397314566,231,Random,231_RM
52.66620986,231,Random,231_RM
3.737071861,231,Random,231_RM
21.23762913,231,Random,231_RM
12.02101189,231,Random,231_RM
11.12266748,231,Random,231_RM
75.29045688,231,Random,231_RM
3.416922318,231,Random,231_RM
40.2484176,231,Random,231_RM
9.189135741,231,Random,231_RM
34.66735395,231,Random,231_RM
8.955855803,231,Random,231_RM
21.64716602,231,Random,231_RM
7.410895083,231,Random,231_RM
4.09271389,231,Random,231_RM
16.01788387,231,Random,231_RM
11.13731614,231,Random,231_RM
