Value,Cell,Alignment,Type
0.573199305,231,Aligned,231_AM
0.101351932,231,Aligned,231_AM
0.016202139,231,Aligned,231_AM
0.39357087,231,Aligned,231_AM
0.62259298,231,Aligned,231_AM
0.032186452,231,Aligned,231_AM
0.615034776,231,Aligned,231_AM
0.26241185,231,Aligned,231_AM
0.084491141,231,Aligned,231_AM
0.014758851,231,Aligned,231_AM
0.061195737,231,Aligned,231_AM
0.766784082,231,Aligned,231_AM
0.036766347,231,Aligned,231_AM
0.418558498,231,Aligned,231_AM
0.014595811,231,Aligned,231_AM
0.019023426,231,Aligned,231_AM
0.400040133,231,Aligned,231_AM
0.543433908,231,Aligned,231_AM
0.737021056,231,Aligned,231_AM
0.235013635,231,Aligned,231_AM
0.143004121,231,Aligned,231_AM
0.201893332,231,Aligned,231_AM
0.246819088,231,Aligned,231_AM
0.191958463,231,Aligned,231_AM
0.215147545,231,Aligned,231_AM
0.26738348,231,Aligned,231_AM
0.134011018,231,Aligned,231_AM
0.099992353,231,Aligned,231_AM
0.061404188,231,Aligned,231_AM
0.159584789,231,Aligned,231_AM
0.66204814,231,Aligned,231_AM
0.401636796,231,Aligned,231_AM
0.468334789,231,Aligned,231_AM
0.189335961,231,Aligned,231_AM
0.124691835,231,Aligned,231_AM
0.035420628,231,Aligned,231_AM
0.108449831,231,Aligned,231_AM
0.511875981,231,Aligned,231_AM
0.051884761,231,Aligned,231_AM
0.151974791,231,Aligned,231_AM
0.123894689,231,Aligned,231_AM
0.016676669,231,Aligned,231_AM
0.123852197,231,Aligned,231_AM
0.205070791,231,Aligned,231_AM
0.017552235,231,Aligned,231_AM
0.065893809,231,Aligned,231_AM
0.062274465,231,Aligned,231_AM
0.191761137,231,Aligned,231_AM
0.313536049,231,Aligned,231_AM
0.4041196,231,Aligned,231_AM
0.131982135,231,Aligned,231_AM
0.020937414,231,Aligned,231_AM
0.348953138,231,Aligned,231_AM
0.043362906,231,Aligned,231_AM
0.13038985,231,Aligned,231_AM
0.065851499,231,Aligned,231_AM
0.027552028,231,Aligned,231_AM
0.051564699,231,Aligned,231_AM
0.504226592,231,Aligned,231_AM
0.329439207,231,Aligned,231_AM
0.06802865,231,Aligned,231_AM
0.028621637,231,Aligned,231_AM
0.039227268,231,Aligned,231_AM
0.138557721,231,Aligned,231_AM
0.307949645,231,Aligned,231_AM
0.08785626,231,Aligned,231_AM
0.808793172,231,Aligned,231_AM
0.025745274,231,Aligned,231_AM
0.100500987,231,Aligned,231_AM
0.838621489,231,Aligned,231_AM
0.010733547,231,Aligned,231_AM
0.361647653,231,Aligned,231_AM
0.216433081,231,Aligned,231_AM
0.611316768,231,Aligned,231_AM
0.370125009,231,Aligned,231_AM
