,Number ,,,,,,,Cicrularity ,,Alignment,Cell
59,Trial2_15-0002.tif,86.737,428.468,149,1513,0.933,1.086,0.921,0.975,RM,MDA-MB-231
60,Trial2_16-0002.tif,107.79,282.427,147,1331,0.78,1.943,0.515,0.969,RM,MDA-MB-231
61,Trial2_16-0002.tif,90.942,375.222,148,1527,0.918,1.223,0.818,0.974,RM,MDA-MB-231
62,Trial2_16-0002.tif,155.446,349.935,148,1581,0.899,1.282,0.78,0.976,RM,MDA-MB-231
63,Trial2_16-0002.tif,151.332,320.614,147,2217,0.898,1.35,0.74,0.978,RM,MDA-MB-231
64,Trial2_17-0002.tif,158.618,361.496,148,1251,0.931,1.233,0.811,0.98,RM,MDA-MB-231
65,Trial2_17-0002.tif,167.385,336.968,148,1866,0.932,1.13,0.885,0.982,RM,MDA-MB-231
66,Trial2_17-0002.tif,224.768,369.145,148,2103,0.914,1.256,0.796,0.981,RM,MDA-MB-231
67,Trial2_17-0002.tif,149.897,367.961,148,1415,0.844,1.181,0.847,0.983,RM,MDA-MB-231
68,Trial2_17-0002.tif,211.595,325.681,146,1718,0.911,1.313,0.761,0.975,RM,MDA-MB-231
69,Trial2_18-0002.tif,93.483,448.598,148,1487,0.906,1.326,0.754,0.971,RM,MDA-MB-231
70,Trial2_18-0002.tif,207.993,448.063,148,1881,0.915,1.322,0.756,0.98,RM,MDA-MB-231
71,Trial2_18-0002.tif,119.263,532.17,149,1847,0.892,1.477,0.677,0.972,RM,MDA-MB-231
72,Trial2_18-0002.tif,140.454,474.373,148,1743,0.948,1.203,0.831,0.983,RM,MDA-MB-231
1,Trial2_23-0002.tif,52.748,751.816,152,2343,0.804,1.704,0.587,0.962,AM,MDA-MB-231
2,Trial2_23-0002.tif,95.266,659.262,153,2360,0.599,2.872,0.348,0.96,AM,MDA-MB-231
3,Trial2_23-0002.tif,97.186,760.773,152,2817,0.782,1.619,0.618,0.981,AM,MDA-MB-231
4,Trial2_23-0002.tif,112.855,592.46,152,3075,0.879,1.564,0.64,0.979,AM,MDA-MB-231
5,Trial2_22-0002.tif,57.977,1021.775,159,2961,0.864,1.331,0.751,0.969,AM,MDA-MB-231
6,Trial2_22-0002.tif,77.595,621.305,151,2300,0.858,1.553,0.644,0.98,AM,MDA-MB-231
7,Trial2_22-0002.tif,56.542,728.385,152,2199,0.829,1.819,0.55,0.966,AM,MDA-MB-231
8,Trial2_22-0002.tif,63.965,720.17,152,2106,0.744,1.431,0.699,0.959,AM,MDA-MB-231
9,Trial2_22-0002.tif,107.863,611.159,151,2921,0.863,1.289,0.776,0.977,AM,MDA-MB-231
10,Trial2_21-0002.tif,73.957,402.946,150,1946,0.928,1.245,0.803,0.973,AM,MDA-MB-231
11,Trial2_21-0002.tif,65.336,467.506,150,1532,0.866,1.563,0.64,0.975,AM,MDA-MB-231
12,Trial2_21-0002.tif,51.587,517.174,151,1973,0.768,2.133,0.469,0.978,AM,MDA-MB-231
13,Trial2_21-0002.tif,53.36,474.257,150,1416,0.867,1.559,0.642,0.97,AM,MDA-MB-231
14,Trial2_20-0002.tif,165.602,367.006,148,1353,0.738,2.155,0.464,0.977,AM,MDA-MB-231
15,Trial2_20-0002.tif,136.34,350.658,149,1693,0.845,1.796,0.557,0.981,AM,MDA-MB-231
16,Trial2_20-0002.tif,71.424,432.831,150,2699,0.862,1.462,0.684,0.977,AM,MDA-MB-231
17,Trial2_20-0002.tif,87.788,496.152,150,1754,0.886,1.381,0.724,0.975,AM,MDA-MB-231
18,Trial2_19-0002.tif,137.492,379.956,148,1446,0.91,1.254,0.797,0.981,AM,MDA-MB-231
19,Trial2_19-0002.tif,69.596,454.318,149,1850,0.885,1.462,0.684,0.966,AM,MDA-MB-231
20,Trial2_19-0002.tif,123.715,547.429,150,3337,0.684,2.189,0.457,0.918,AM,MDA-MB-231
21,Trial2_19-0002.tif,91.207,416.059,149,1644,0.861,1.046,0.956,0.967,AM,MDA-MB-231
22,Trial2_18-0002.tif,107.397,413.844,149,1500,0.904,1.308,0.764,0.977,AM,MDA-MB-231
23,Trial2_18-0002.tif,71.662,428.657,149,1383,0.619,3.006,0.333,0.96,AM,MDA-MB-231
24,Trial2_18-0002.tif,94.891,358.611,149,1249,0.661,2.269,0.441,0.967,AM,MDA-MB-231
25,Trial2_17-0002.tif,115.305,457.231,149,1542,0.707,2.111,0.474,0.973,AM,MDA-MB-231
26,Trial2_17-0002.tif,116.877,348.784,149,1523,0.889,1.537,0.651,0.981,AM,MDA-MB-231
27,Trial2_17-0002.tif,77.568,362.936,148,1366,0.87,1.654,0.605,0.973,AM,MDA-MB-231
28,Trial2_17-0002.tif,91.39,417.045,149,1534,0.75,1.952,0.512,0.964,AM,MDA-MB-231
29,Trial2_17-0002.tif,99.727,355.388,149,1518,0.804,1.855,0.539,0.97,AM,MDA-MB-231
30,Trial2_16-0002.tif,151.104,403.603,149,1597,0.778,1.804,0.554,0.979,AM,MDA-MB-231
31,Trial2_16-0002.tif,135.663,411.382,150,1650,0.86,1.698,0.589,0.974,AM,MDA-MB-231
32,Trial2_16-0002.tif,69.843,317.007,148,1342,0.813,1.698,0.589,0.971,AM,MDA-MB-231
33,Trial2_16-0002.tif,83.592,395.927,149,1397,0.852,1.77,0.565,0.977,AM,MDA-MB-231
34,Trial2_16-0002.tif,150.683,403.912,149,1597,0.728,2.22,0.451,0.962,AM,MDA-MB-231
35,Trial2_16-0002.tif,97.835,424.522,149,1471,0.903,1.328,0.753,0.981,AM,MDA-MB-231
36,Trial2_15-0002.tif,108.028,373.396,148,1781,0.953,1.081,0.925,0.983,AM,MDA-MB-231
37,Trial2_15-0002.tif,56.633,393.456,150,1683,0.726,2.182,0.458,0.951,AM,MDA-MB-231
38,Trial2_15-0002.tif,105.825,431.359,150,1938,0.883,1.351,0.74,0.976,AM,MDA-MB-231
39,Trial2_15-0002.tif,140.582,380.071,149,2463,0.729,1.718,0.582,0.939,AM,MDA-MB-231
40,Trial2_14-0002.tif,113.293,525.157,150,2004,0.726,2.306,0.434,0.951,AM,MDA-MB-231
41,Trial2_14-0002.tif,71.625,507.76,150,1997,0.734,2.331,0.429,0.961,AM,MDA-MB-231
42,Trial2_14-0002.tif,106.072,424.911,149,1554,0.747,2.178,0.459,0.966,AM,MDA-MB-231
43,Trial2_14-0002.tif,132.866,367,148,2661,0.868,1.549,0.646,0.982,AM,MDA-MB-231
44,Trial2_14-0002.tif,115.177,372.857,149,1731,0.591,2.934,0.341,0.936,AM,MDA-MB-231
45,Trial2_13-0002.tif,72.549,410.265,150,1412,0.623,2.998,0.334,0.959,AM,MDA-MB-231
46,Trial2_13-0002.tif,98.795,396.509,149,1413,0.816,1.901,0.526,0.967,AM,MDA-MB-231
47,Trial2_13-0002.tif,103.987,362.281,149,2283,0.858,1.671,0.598,0.976,AM,MDA-MB-231
48,Trial2_13-0002.tif,77.714,413.14,150,1413,0.768,2.004,0.499,0.966,AM,MDA-MB-231
49,Trial2_12-0002.tif,128.633,351.789,149,2707,0.758,1.969,0.508,0.972,AM,MDA-MB-231
50,Trial2_12-0002.tif,210.9,414.288,149,2857,0.685,2.201,0.454,0.91,AM,MDA-MB-231
51,Trial2_12-0002.tif,108.924,293.323,149,1563,0.839,1.696,0.589,0.981,AM,MDA-MB-231
52,Trial2_12-0002.tif,167.038,504.719,149,2254,0.85,1.308,0.764,0.973,AM,MDA-MB-231
53,Trial2_11-0002.tif,156.04,370.099,149,1518,0.882,1.528,0.654,0.975,AM,MDA-MB-231
54,Trial2_11-0002.tif,108.046,385.933,148,1397,0.833,1.558,0.642,0.972,AM,MDA-MB-231
55,Trial1_7-0002.tif,110.505,685.57,151,2528,0.767,2.161,0.463,0.973,AM,MDA-MB-231
56,Trial1_4-0002.tif,100.559,383.413,149,1492,0.837,1.783,0.561,0.977,AM,MDA-MB-231
57,Trial1_4-0002.tif,55.207,570.353,152,1864,0.903,1.426,0.701,0.977,AM,MDA-MB-231
58,Trial1_3-0002.tif,109.427,320.387,149,1222,0.798,1.944,0.514,0.973,AM,MDA-MB-231
59,Trial1_3-0002.tif,79.935,357.251,148,1761,0.663,1.957,0.511,0.96,AM,MDA-MB-231
60,Trial1_2-0002.tif,128.789,287.018,147,1337,0.76,2.204,0.454,0.973,AM,MDA-MB-231
61,Trial1_2-0002.tif,88.108,302.498,147,1191,0.77,2.106,0.475,0.961,AM,MDA-MB-231
62,Trial1_1-0002.tif,111.621,358.797,147,1356,0.781,2.026,0.494,0.975,AM,MDA-MB-231
63,Trial1_1-0002.tif,103.987,416.873,149,1522,0.887,1.505,0.665,0.982,AM,MDA-MB-231
1,Trial2_23-0002.tif,169.497,381.903,148,2100,0.886,1.494,0.669,0.98,RM,MDA-MB-231
2,Trial2_23-0002.tif,251.69,458.777,149,2316,0.926,1.296,0.771,0.986,RM,MDA-MB-231
3,Trial2_23-0002.tif,118.203,554.035,149,2044,0.799,1.965,0.509,0.977,RM,MDA-MB-231
4,Trial2_23-0002.tif,106.711,605.815,150,2014,0.938,1.095,0.914,0.982,RM,MDA-MB-231
5,Trial2_22-0002.tif,132.528,420.21,149,2476,0.801,1.424,0.702,0.983,RM,MDA-MB-231
6,Trial2_22-0002.tif,138.689,339.777,148,1658,0.806,1.465,0.683,0.979,RM,MDA-MB-231
7,Trial2_21-0002.tif,137.51,457.828,149,2230,0.739,2.171,0.461,0.977,RM,MDA-MB-231
8,Trial2_20-0002.tif,145.637,366.886,148,1697,0.893,1.523,0.657,0.981,RM,MDA-MB-231
9,Trial2_19-0002.tif,165.155,366.856,148,1437,0.876,1.397,0.716,0.977,RM,MDA-MB-231
10,Trial2_19-0002.tif,89.004,371.958,149,1523,0.866,1.441,0.694,0.97,RM,MDA-MB-231
11,Trial2_18-0002.tif,121.457,594.511,150,2051,0.934,1.264,0.791,0.984,RM,MDA-MB-231
12,Trial2_18-0002.tif,114.976,429.633,149,2406,0.841,1.766,0.566,0.967,RM,MDA-MB-231
13,Trial2_17-0002.tif,146.542,432.615,149,2063,0.9,1.236,0.809,0.982,RM,MDA-MB-231
14,Trial2_17-0002.tif,125.9,485.325,149,2430,0.914,1.438,0.695,0.98,RM,MDA-MB-231
15,Trial2_16-0002.tif,101.903,491.728,149,2331,0.945,1.151,0.869,0.977,RM,MDA-MB-231
16,Trial2_16-0002.tif,115.561,451.967,148,2056,0.947,1.146,0.873,0.979,RM,MDA-MB-231
17,Trial2_15-0002.tif,120.881,366.4,149,1820,0.931,1.078,0.927,0.978,RM,MDA-MB-231
18,Trial2_15-0002.tif,181.089,594.34,149,2818,0.886,1.24,0.807,0.962,RM,MDA-MB-231
19,Trial2_13-0002.tif,80.264,405.988,146,1544,0.9,1.321,0.757,0.973,RM,MDA-MB-231
20,Trial2_13-0002.tif,54.604,346.908,150,1310,0.888,1.37,0.73,0.974,RM,MDA-MB-231
21,Trial2_12-0002.tif,161.626,368.601,149,1930,0.919,1.321,0.757,0.981,RM,MDA-MB-231
22,Trial2_12-0002.tif,70.684,544.971,151,1937,0.909,1.23,0.813,0.971,RM,MDA-MB-231
23,Trial2_11-0002.tif,112.352,803.563,151,2548,0.889,1.462,0.684,0.973,RM,MDA-MB-231
24,Trial2_11-0002.tif,113.193,371.688,149,1468,0.849,1.607,0.622,0.98,RM,MDA-MB-231
25,Trial2_10-0002.tif,141.825,392.978,149,2006,0.92,1.382,0.723,0.984,RM,MDA-MB-231
26,Trial2_8-0002.tif,104.792,448.22,149,1896,0.742,2.265,0.442,0.977,RM,MDA-MB-231
27,Trial2_7-0002.tif,143.763,405.775,148,2295,0.961,1.112,0.899,0.983,RM,MDA-MB-231
28,Trial2_7-0002.tif,84.223,468.978,151,1463,0.827,1.625,0.615,0.959,RM,MDA-MB-231
29,Trial1_6-0002.tif,205.159,587.228,149,2316,0.909,1.397,0.716,0.984,RM,MDA-MB-231
30,Trial1_6-0002.tif,79.14,603.138,150,2140,0.808,1.545,0.647,0.943,RM,MDA-MB-231
1,Trial1_1-0002.tif,108.531,316.945,148,2657,0.907,1.352,0.74,0.979,RM,MDA-MB-231
2,Trial1_1-0002.tif,83.162,376.838,149,1303,0.931,1.226,0.816,0.978,RM,MDA-MB-231
3,Trial1_1-0002.tif,65.519,377.157,148,1571,0.916,1.38,0.725,0.971,RM,MDA-MB-231
4,Trial1_1-0002.tif,81.014,384.52,150,1383,0.727,1.799,0.556,0.969,RM,MDA-MB-231
5,Trial1_1-0002.tif,143.598,404.264,149,1533,0.845,1.425,0.702,0.965,RM,MDA-MB-231
6,Trial1_3-0002.tif,108.649,333.023,148,2507,0.859,1.586,0.63,0.967,RM,MDA-MB-231
7,Trial1_3-0002.tif,113.559,322.52,147,1464,0.901,1.434,0.697,0.977,RM,MDA-MB-231
8,Trial1_3-0002.tif,130.48,348.235,149,1436,0.957,1.084,0.922,0.982,RM,MDA-MB-231
9,Trial1_3-0002.tif,94.983,333.706,148,1756,0.95,1.09,0.918,0.979,RM,MDA-MB-231
10,Trial1_3-0002.tif,80.53,301.98,148,1214,0.927,1.206,0.829,0.975,RM,MDA-MB-231
11,Trial1_4-0002.tif,160.894,328.153,148,2166,0.894,1.206,0.829,0.981,RM,MDA-MB-231
12,Trial1_4-0002.tif,103.53,334.668,148,1275,0.909,1.394,0.717,0.974,RM,MDA-MB-231
